MP name,Nature of membership,Start of term,End of term,State,Political party,Gender,Educational qualifications,Educational qualifications - details,Age,Debates,Private Member Bills,Questions,Attendance,Notes,National Debates average,National Private Member Bills average,National Questions average,National Attendance average,State's Debates average,State's Private Member Bills  average,State's Questions average,State's Attendance average
Prabhat Jha,Elected,10-Apr-08,In office,Madhya Pradesh,Bharatiya Janata Party,Male,Post Graduate,"B. Sc., M.A. (Political Science), LL. B., Educated at PGV College, Gwalior and Madhav College, and MLB College, Gwalior ",55,53,9,853,0.63," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",28.8,0.8,215,77%,28,0.8,231,83%
Pradeep Kumar Balmuchu,Elected,04-May-12,In office,Jharkhand,Indian National Congress,Male,Post Graduate,M.Com; Studied at Co-operative college Jamshedpur,54,1,0,34,0.87," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",4.3,0.1,27,77%,2.1,0,41,75%
Pradip Bhattacharya,Elected,18-Aug-11,In office,West Bengal,Indian National Congress,Male,Information not available,information not available,Information not available,7,0,67,0.77," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",10.6,0.2,74,77%,15.1,0,36,77%
Prakash Javadekar,Elected,03-Apr-08,In office,Maharashtra,Bharatiya Janata Party,Male,Graduate,"B. Com. Educated at University of Pune, Pune ",61,88,7,496,0.92," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",28.8,0.8,215,77%,34.7,1,347,77%
Pramod Kureel,Elected,09-Jul-10,02-04-2012,Uttar Pradesh,Bahujan Samaj Party,Male,Post Graduate,"B. Arch. (Bachelor of Architechture), M. Arch. (Master of Architechture) Educated at School of Planning and Architechture, New Delhi",45,15,0,15,0.66," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",13.7,0.3,104,77%,11.4,0.9,61,76%
Prasanta Chatterjee,Elected,03-Apr-08,In office,West Bengal,Communist Party of India (Marxist),Male,Graduate,"Matriculation, Educated at Narikeldanga High School, Kolkata and City College, Kolkata",72,63,0,130,0.76," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",28.8,0.8,215,77%,44.3,0.4,138,77%
Praveen Rashtrapal,Elected,03-Apr-12,In office,Gujarat,Indian National Congress,Male,Graduate,"B.A., LL.B. Educated at Siddharth College, Mumbai",72,28,0,216,0.82," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",28.8,0.8,215,77%,20.3,0.2,189,79%
Pravinchandra Rughnathji Naik,Elected,19-Feb-10,18-08-2011,Gujarat,Bharatiya Janata Party,Male,Diploma Course,Electrical and Mechancial Engineering,75,0,0,8,0.82," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",11.5,0.4,92,77%,7.4,0,73,79%
Prem Chand Gupta,Elected,10-Apr-08,In office,Bihar,Rashtriya Janata Dal,Male,Graduate,"Graduate (Economics) Educated at Vaish College, Bhiwani, D.N.College, Hissar and Faculty of Law, Delhi University ",62,4,0,0,0.94," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",28.8,0.8,215,77%,35.6,0.1,258,76%
Pyarelal Khandelwal,Elected,30-Jun-04,06-10-2009,Madhya Pradesh,Bharatiya Janata Party,Male,Inter/ Higher Secondary,"Intermediate Educated at Madhyamik Shiksha Parishad, Indore",83,0,0,17,0.93," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",4.3,0.1,25,77%,2.1,0,18,83%
Pyarimohan Mohapatra,Elected,02-Jul-10,In office,Orissa,Biju Janata Dal,Male,Post Graduate,"B.A. (Hons.) in Economics, M.A. in Political Science, Diploma in Development Administration Educated at Ravenshaw College, Cuttack, Allahabad University, Allahabad and London School of Economics, London ",72,41,0,117,0.58," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",28.8,0.8,215,77%,40.5,0.3,197,82%
R.C. Singh,Elected,25-Jun-08,02-04-2012,West Bengal,Communist Party of India,Male,Inter/ Higher Secondary,"Higher Secondary, Certificate in Mining Educated at D.A.V. School, Mau, Janta Degree College, Ranipur, Mau, Uttar Pradesh and Indian School of Mines, Dhanbad ",67,92,3,601,0.96," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",23.7,0.6,181,77%,36.9,0.4,125,77%
R.K. Dhawan,Elected,08-Jul-04,07-07-2010,Bihar,Indian National Congress,Male,Graduate,"Graduate, Educated at Panjab University, Chandigarh ",75,0,0,0,0.84," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",10,0.3,77,77%,11,0,81,76%
Raashid Alvi,Elected,03-Apr-06,02-04-2012,Andhra Pradesh,Indian National Congress,Male,Graduate,"B.Sc., LL.B. Educated at K.G.K. College, Moradabad (Uttar Pradesh) ",56,13,0,59,0.98," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",23.7,0.6,181,77%,19.6,0.8,254,78%
Rabinarayan Mohapatra,Elected,04-Apr-12,In office,Orissa,Biju Janata Dal,Male,Information not available,,Information not available,3,0,5,0.71," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",5.1,0.2,33,77%,6.1,0.3,26,82%
Radhakant Nayak,Elected,02-Jul-04,01-07-2010,Orissa,Indian National Congress,Male,Doctorate,"B.A., M.A., Ph.D. Educated at Q.M. School, Berhampur, Khallikote College, Berhampur, Ravenshaw College, Cuttack and Utkal University, Bhubaneswar Conferred of Honorary Doctorate (Honoris Causa) by New England College (University), Henniker, New Hampshire,",73,4,0,0,0.82," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",10,0.3,77,77%,12.2,0,74,82%
Raghunandan Sharma,Elected,10-Apr-08,In office,Madhya Pradesh,Bharatiya Janata Party,Male,Post Graduate,"M.A. (Political Science) Educated at Vikram University, Ujjain ",66,18,0,302,0.89," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",28.8,0.8,215,77%,28,0.8,231,83%
Rahul Bajaj,Elected,20-Jun-06,04-07-2010,Maharashtra,Independent,Male,Post Graduate,"B.A.(Hons.), LL.B., M.B.A. Educated at Delhi University, Bombay University and Harvard University (U.S.A.) ",74,17,0,57,0.88," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",10,0.3,77,77%,13.2,0.4,129,77%
Raj Mohinder Singh Majitha,Elected,05-Jul-04,04-07-2010,Punjab,Shiromani Akali Dal,Male,Graduate,"B.A. Educated at Khalsa College, Amritsar (Punjab) B.A. Educated at Khalsa College, Amritsar (Punjab) ",72,4,0,259,0.48," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",10,0.3,77,77%,6.9,0,107,78%
Rajaram,Elected,26-Nov-08,In office,Uttar Pradesh,Bahujan Samaj Party,Male,Post Graduate,"Post Graduate Educated at Kashi Vidyapeeth, Varanasi ",44,0,0,0,0.81," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",28.8,0.8,215,77%,22.8,1.3,134,76%
Rajeev Chandrasekhar,Elected,03-Apr-12,In office,Karnataka,Independent,Male,Post Graduate,"B.E. (Electrical Engg.), Masters in Computer Science, Advanced Management Programme Educated at Manipal Institute of Technology, Manipal (Karnataka), Illinois Institute of Technology, Chicago and Harvard University, Boston (U.S.A.) ",48,26,11,517,0.66," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",28.8,0.8,215,77%,16.8,1.9,109,69%
Rajeev Shukla,Elected,03-Apr-12,In office,Maharashtra,Indian National Congress,Male,Post Graduate,"M.A., LL.B. Educated at P.P.N. College, Kanpur University, Christ Church College, Kanpur University and V.S.S.D. College of Law, Kanpur University",52,37,0,156,0.94,"This MP was appointed a minister in July, 2011.  Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till 25th March, 2011. (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",22.3,0.7,163,77%,27.9,0.7,260,77%
Rajiv Pratap Rudy,Elected,04-Jul-08,In office,Bihar,Bharatiya Janata Party,Male,Post Graduate,"B.A. (Hons.) (Eco.), M.A. (Eco.), LL.B., Commercial Pilot Licence Educated at St. Michaels High School, Patna (Bihar), Government College and Panjab University, Chandigarh ",50,33,0,322,0.90," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",28.8,0.8,215,77%,35.6,0.1,258,76%
Rajkumar Dhoot,Elected,03-Apr-08,In office,Maharashtra,Shiv Sena,Male,Graduate,"B.Com.(Hons.) Educated at S.B. College, Aurangabad (Maharashtra) ",56,5,0,565,0.48," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",28.8,0.8,215,77%,34.7,1,347,77%
Rajniti Prasad,Elected,03-Apr-06,02-04-2012,Bihar,Rashtriya Janata Dal,Male,Graduate,"B.A., LL.B. Educated at RD&DJ College, Munger, Bhagalpur University, Bihar and Patna Law College, Patna University, Bihar",66,101,0,141,0.83," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",23.7,0.6,181,77%,28.3,0.1,206,76%
Rajpal Singh Saini,Elected,05-Jul-10,In office,Uttar Pradesh,Bahujan Samaj Party,Male,Graduate,"Graduate ; Educated at D.A.V. Inter College Budhana, Muzaffarnagar, Shri Chandan Lal National Inter College, Kandhla and S.D. Degree College, Muzaffarnagar, Uttar Pradesh",59,0,0,0,0.98," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",18.8,0.5,137,77%,14.7,1,78,76%
Ram Dayal Munda,Nominated,22-Mar-10,30-09-2011,,Independent,Male,Doctorate,"M.A., Ph.D., Educated at Ranchi University, Ranchi and University of Chicago, U.S.A.",73,0,0,0,0.62," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",11.5,0.4,89,77%,5.9,0,47,68%
Ram Gopal Yadav,Elected,26-Nov-08,In office,Uttar Pradesh,Samajwadi Party,Male,Doctorate,"M. Sc. (Physics), M.A. (Political Science), Ph. D., Educated at Agra University, Agra and Kanpur University, Kanpur ",66,46,0,0,0.79," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",28.8,0.8,215,77%,22.8,1.3,134,76%
Ram Jethmalani,Elected,05-Jul-10,In office,Rajasthan,Bharatiya Janata Party,Male,Graduate,"LL.M. Educated at S.C. Shahani Law College, Karachi",88,8,0,397,0.50,"This MP has been re-elected/nominated. During his previous term, this MP was a nominated representative; the term ended on 26th August, 2009. (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",23,0.6,162,77%,18.3,0.1,191,81%
Ram Kripal Yadav,Elected,08-Jul-10,In office,Bihar,Rashtriya Janata Dal,Male,Professional Graduate,"B.A.(Hons.), LL.B. ; Educated at Magadh University, Patna (Bihar)",54,74,0,184,0.79," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",18.8,0.5,137,77%,24.6,0.1,177,76%
Ram Narayan Sahu,Elected,05-Jul-04,04-07-2010,Uttar Pradesh,Samajwadi Party,Male,Under Matric,"Under Martric, Educated at Vishnu Narayan Inter College, Lucknow ",73,14,0,0,0.76," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",10,0.3,77,77%,8,0.4,56,76%
Ram Prakash,Elected,10-Apr-08,In office,Haryana,Indian National Congress,Male,Doctorate,"M.Sc.(Hons.), Ph.D. in Chemistry, UNESCO Course in Analytical Chemistry, D.Sc. (Honoris causa) Educated at D.A.V. College, Ambala City, Panjab University, Chandigarh, Charles University, Prague (Praha) and Heyrovsky Institute of Polarography, Prague (Prah",72,33,0,142,0.97," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",28.8,0.8,215,77%,20.2,1.5,138,87%
Ram Vilas Paswan,Elected,08-Jul-10,In office,Bihar,Lok Janasakti Party,Male,Professional Graduate,"M.A., LL.B., D.Litt (Honoris Causa) conferred by Bundelkhand University, Jhansi (Madhya Pradesh) ; Educated at Kosi College, Khagaria and Patna University, Patna (Bihar)",66,39,0,121,0.82," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",18.8,0.5,137,77%,24.6,0.1,177,76%
Rama Chandra Khuntia,Elected,03-Apr-08,In office,Orissa,Indian National Congress,Male,Post Graduate,"Graduate in Law, M.B.A. Educated at Utkal University and Sikkim Manipal University ",59,73,3,562,0.83," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",28.8,0.8,215,77%,40.5,0.3,197,82%
Ramchandra Prasad Singh,Elected,08-Jul-10,In office,Bihar,Janata Dal (United),Male,Post Graduate,"B.A. (Hons.) in History, M.A. (International Relations) ; Educated at High School, Hussainpur, Nalanda, Science College, Patna University, Patna College, Patna University, Patna and Jawaharlal Nehru University, New Delhi",54,3,0,304,0.60," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",18.8,0.5,137,77%,24.6,0.1,177,76%
Ramdas Agarwal,Elected,04-Apr-06,03-04-2012,Rajasthan,Bharatiya Janata Party,Male,Inter/ Higher Secondary,"Intermediate, Hindi Visharad Educated at Jaipur Maharaja College, Jaipur ",75,24,0,410,0.64," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",23.7,0.6,181,77%,26.3,0.4,271,81%
Ranbir Singh Parjapati,Elected,02-Aug-10,In office,Haryana,Indian National Lok Dal,Male,Inter/ Higher Secondary,"Intermediate Educated at Arya School, Hisar and Board of Secondary Education, Bhopal",48,5,0,37,0.71," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",18.8,0.5,133,77%,9.6,1.5,95,87%
Rangasayee Ramakrishna,Elected,03-Apr-12,In office,Karnataka,Bharatiya Janata Party,Male,Information not available,,Information not available,4,0,2,1.00," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",5.1,0.2,33,77%,3.3,0.4,25,69%
Ranjitsinh Vijaysinh Mohite-Patil,Elected,04-Aug-09,02-04-2012,Maharashtra,Nationalist Congress Party,Male,Graduate,,40,17,0,210,0.78," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",20,0.5,159,77%,23.8,0.6,259,77%
Rashid Masood,Elected,03-Apr-12,In office,Uttar Pradesh,Indian National Congress,Male,Professional Post Graduate,"B.Sc., LL.M. Educated at Aligarh Muslim University, Aligarh (Uttar Pradesh)",65,0,0,125,0.68," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",17.1,0.5,126,77%,13.7,1,74,76%
Ravi Shankar Prasad,Elected,03-Apr-12,In office,Bihar,Bharatiya Janata Party,Male,Post Graduate,"B.A.Hons., M.A. (Pol.Science), LL.B. Educated at Patna University ",58,41,0,630,0.73," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",28.8,0.8,215,77%,35.6,0.1,258,76%
Rekha,Nominated,27-Apr-12,In office,,Independent,Female,Others,,57,0,0,0,0.11," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",5,0.2,31,77%,2.4,0.2,7,68%
Renubala Pradhan,Elected,03-Apr-08,In office,Orissa,Biju Janata Dal,Female,Matric,"Matric, Educated at Mahatma Gandhi High School, Sheragada, Distt. Ganjam, Orissa ",48,4,0,124,0.62," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",28.8,0.8,215,77%,40.5,0.3,197,82%
Renuka Chowdhury,Elected,03-Apr-12,In office,Andhra Pradesh,Indian National Congress,Female,Information not available,,Information not available,2,0,38,0.89," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",5.1,0.2,33,77%,3.8,0,43,78%
Rishang Keishing,Elected,10-Apr-08,In office,Manipur,Indian National Congress,Male,Graduate,"B.A. Educated at St. Paul's Cathedral College, Kolkata ",91,1,0,0,0.85," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",28.8,0.8,215,77%,1,0,0,85%
Rudra Narayan Pany,Elected,04-Apr-06,03-04-2012,Orissa,Bharatiya Janata Party,Male,Graduate,B.A. (Hons.) with distinction Educated at Utkal University (Orissa) ,53,107,0,403,0.84," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",23.7,0.6,181,77%,34.5,0,171,82%
S. Anbalagan,Elected,30-Jun-04,29-06-2010,Tamil Nadu,All India Anna Dravida Munnetra Kazhagam,Male,Post Graduate,"M.A.(History) Educated at Madurai Kamaraj University, Madurai",63,8,0,77,0.76," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",10,0.3,77,77%,17.2,0.2,81,70%
S. Thangavelu,Elected,30-Jun-10,In office,Tamil Nadu,Dravida Munnetra Kazhagam,Male,Graduate,"B.Sc. (Agriculture) ; Educated at Agriculture College, Madurai, Tamil Nadu Agriculture University, Tamil Nadu",58,16,0,175,0.78," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",18.8,0.5,137,77%,21.4,0.3,162,70%
S.P. Singh Baghel,Elected,05-Jul-10,In office,Uttar Pradesh,Bahujan Samaj Party,Male,Doctorate,"M.Sc., LL.B., Ph.D. Educated at Jiwaji University, Gwalior (Madhya Pradesh), Meerut University and Chaudhary Charan Singh University, Meerut (Uttar Pradesh)",52,11,0,0,0.95," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",18.8,0.5,137,77%,14.7,1,78,76%
S.S. Ahluwalia,Elected,03-Apr-06,02-04-2012,Jharkhand,Bharatiya Janata Party,Male,Graduate,"B.Sc., LL.B. Educated at St. Joseph School, Asansol, Bidhan Chandra College, Burdwan University and University College of Law, Calcutta University, West Bengal ",61,71,0,193,0.96," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",23.7,0.6,181,77%,23.7,0.5,248,75%
Sabir Ali,Elected,16-Dec-11,In office,Bihar,Janata Dal (United),Male,Graduate,"Intermediate, B.A.",42,28,0,431,0.62," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",27.8,0.8,200,77%,34.2,0.1,239,76%
Sachin Ramesh Tendulkar,Nominated,27-Apr-12,In office,,Independent,Male,Inter/ Higher Secondary,,39,0,0,0,0.09," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",5,0.2,31,77%,2.4,0.2,7,68%
Saif-ud-Din Soz,Elected,11-Feb-09,In office,Jammu and Kashmir,Indian National Congress,Male,Post Graduate,"M.A. (Economics) Educated at Jammu and Kashmir University, Srinagar ",74,18,0,125,0.92," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",28.8,0.8,215,77%,12.8,0,70,88%
Salim Ansari,Elected,05-Jul-10,In office,Uttar Pradesh,Bahujan Samaj Party,Male,Post Graduate,"B.A., M.A. ; Educated at D.C.S.K.P.G. College, Mau (Gorakhpur University)",50,3,0,26,1.00," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",18.8,0.5,137,77%,14.7,1,78,76%
Saman Pathak,Elected,03-Apr-06,02-04-2012,West Bengal,Communist Party of India (Marxist),Male,Graduate,"B.A., Diploma in Computer Educated at North Bengal University, Siliguri ",38,31,0,79,0.82," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",23.7,0.6,181,77%,36.9,0.4,125,77%
Sanjay Raut,Elected,05-Jul-10,In office,Maharashtra,Shiv Sena,Male,Graduate,"B. Com. Educated at Mumbai University, Mumbai ",50,36,0,566,0.61," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",28.8,0.8,215,77%,34.7,1,347,77%
Sanjiv Kumar,Elected,04-May-12,In office,Jharkhand,Jharkhand Mukti Morcha,Male,Information not available,,112,2,0,2,0.90," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",4.3,0.1,27,77%,2.1,0,41,75%
Santosh Bagrodia,Elected,05-Jul-04,04-07-2010,Rajasthan,Indian National Congress,Male,Graduate,"Graduate in Commerce Educated at St. Xavier's College, Calcutta ",71,28,3,245,0.93," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",10,0.3,77,77%,14.5,0.4,144,81%
Sardar Sukh Dev Singh Dhindsa,Elected,10-Apr-10,In office,Punjab,Shiromani Akali Dal,Male,Graduate,"B.A. Educated at Guru Nanak School, Sangrur and Government Ranbir College, Sangrur, Punjab",76,20,1,224,0.60," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",20.5,0.6,153,77%,28.7,0.2,173,78%
Satish Chandra Misra,Elected,05-Jul-10,In office,Uttar Pradesh,Bahujan Samaj Party,Male,Graduate,"B.A., LL.B. Educated at Allahabad University and P.P.N. College, Kanpur University ",59,24,0,4,0.78," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",28.8,0.8,215,77%,22.8,1.3,134,76%
Satish Kumar Sharma,Elected,05-Jul-10,In office,Uttar Pradesh,Indian National Congress,Male,Diploma Course,"Higher Secondary; Commercial Pilots Licence; Airline Transport Pilots Licence Educated at Mothers School, New Delhi; Hyderabad and Kansas City, U.S.A. ",64,0,0,0,0.95,"This MP has been re-elected/nominated. During his previous term, this MP was an elected representative from Uttarakhand; the term ended on 4th July, 2010. (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",28.8,0.8,215,77%,18.5,1.5,257,76%
Satyavrat Chaturvedi,Elected,03-Apr-12,In office,Madhya Pradesh,Indian National Congress,Male,Inter/ Higher Secondary,"Senior Cambridge Educated at Sainik School, Rewa (Madhya Pradesh) ",62,10,0,447,0.94," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",28.8,0.8,215,77%,46.5,1.9,540,83%
Shadi Lal Batra,Elected,03-Apr-12,In office,Haryana,Indian National Congress,Male,Professional Graduate,"B.Com., LL.B. ; Educated at Vaish College, Rohtak, Haryana and Faculty of Law, University of Delhi, Delhi",72,6,7,188,0.93," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",25.1,0.7,192,77%,15.4,1.5,128,87%
Shanta Kumar,Elected,10-Apr-08,In office,Himachal Pradesh,Bharatiya Janata Party,Male,Professional Graduate,"B.A., LL.B. ; Educated at Panjab University and Delhi Law College, Delhi",77,25,0,56,0.80," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",28.8,0.8,215,77%,27.4,0,219,88%
Shantaram Laxman Naik,Elected,01-Aug-11,In office,Goa,Indian National Congress,Male,Graduate,"B.A., LL.B. Educated at Smt. Parvatibai Chowgule College, Margao, Bombay University, Mumbai and Siddharth College of Law, Bombay University, Mumbai ",66,91,16,301,0.95," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",28.8,0.8,215,77%,91,16,301,95%
Sharad Anantrao Joshi,Elected,05-Jul-04,04-07-2010,Maharashtra,Swtantra Bharat Paksh,Male,Post Graduate,"M. Com., Diplome d'informatique Educated at Sydenham College of Commerce & Economics, Mumbai and Institut de traitement d'information, Lausanne, Switzerland ",77,20,0,43,0.96," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",10,0.3,77,77%,13.2,0.4,129,77%
Shashi Bhusan Behera,Elected,02-Jul-10,In office,Orissa,Biju Janata Dal,Male,Graduate,"Graduate ; Educated at Ravenshaw College, Utkal University, Cuttack (Orissa)",59,12,0,0,0.88," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",18.8,0.5,137,77%,28.3,0.3,123,82%
Shivanand Tiwari,Elected,10-Apr-08,In office,Bihar,Janata Dal (United),Male,Under Graduate,,68,66,0,541,0.86," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",28.8,0.8,215,77%,35.6,0.1,258,76%
Shivpratap Singh,Elected,10-Apr-08,In office,Chhattisgarh,Bharatiya Janata Party,Male,Inter/ Higher Secondary,"Higher Secondary Educated at Government Senior Secondary School, Surajpur ",70,0,0,34,0.57," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",28.8,0.8,215,77%,25.5,0.6,371,86%
Shivraj Patil,Elected,05-Jul-04,21-01-2010,Maharashtra,Indian National Congress,Male,Graduate,"B.Sc., LL.B., LL.M. Educated at Osmania University, Hyderabad and Bombay University, Mumbai",76,1,0,0,0.91," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",6.9,0.2,49,77%,9,0.2,83,77%
Shobhana Bhartia,Nominated,16-Feb-06,15-02-2012,,Independent,Female,Graduate,"Senior Cambridge, B.A.(Hons.) Educated at Loreto House and Loreto College, Calcutta ",55,11,1,590,0.84," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",22,0.6,170,77%,11.4,0.1,86,68%
